short_name,long_name,overall,potential,age,height_cm,weight_kg,club_name,league_name,club_position,nationality,preferred_foot,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,pace,shooting,passing,dribbling,defending,physic
Ederson,Ederson Santana de Moraes,89,91,27,188,86,Manchester City,English Premier League,GK,Brazil,Left,3,1,Medium/Medium,Unique,Yes,181000000,,,,,,
J. Kimmich,Joshua Walter Kimmich,89,90,26,177,75,FC Bayern München,German 1. Bundesliga,RDM,Germany,Right,4,3,High/Medium,Lean (170-185),Yes,186300000,70,73,86,84,83,79
Alisson,Alisson Ramsés Becker,89,90,28,191,91,Liverpool,English Premier League,GK,Brazil,Right,3,1,Medium/Medium,Unique,Yes,157900000,,,,,,
Sergio Ramos,Sergio Ramos García,88,88,35,184,82,Paris Saint-Germain,French Ligue 1,LCB,Spain,Right,3,3,High/Medium,Unique,Yes,44400000,70,70,76,73,88,84
T. Kroos,Toni Kroos,88,88,31,183,76,Real Madrid CF,Spain Primera Division,LCM,Germany,Right,5,3,Medium/Medium,Normal (170-185),Yes,153800000,53,81,91,81,71,68
R. Lukaku,Romelu Lukaku Menama,88,88,28,191,94,Chelsea,English Premier League,ST,Belgium,Left,4,3,Medium/Medium,Unique,Yes,173000000,84,87,74,78,39,83
R. Sterling,Raheem Sterling,88,89,26,170,69,Manchester City,English Premier League,SUB,England,Right,3,4,High/Medium,Unique,Yes,206900000,91,82,79,88,45,66
Bruno Fernandes,Bruno Miguel Borges Fernandes,88,89,26,179,69,Manchester United,English Premier League,CAM,Portugal,Right,3,4,High/High,Unique,Yes,206900000,75,86,89,84,70,77
S. Agüero,Sergio Leonel Agüero del Castillo,87,87,33,173,70,FC Barcelona,Spain Primera Division,ST,Argentina,Right,4,4,High/Medium,Unique,Yes,104600000,71,89,75,87,33,69
H. Lloris,Hugo Lloris,87,87,34,188,82,Tottenham Hotspur,English Premier League,GK,France,Left,1,1,Medium/Medium,Unique,Yes,25700000,,,,,,
A. Di María,Ángel Fabián Di María Hernández,87,87,33,180,69,Paris Saint-Germain,French Ligue 1,SUB,Argentina,Left,2,5,High/Medium,Unique,Yes,91600000,83,81,86,88,48,69
T. Müller,Thomas Müller,87,87,31,185,76,FC Bayern München,German 1. Bundesliga,CAM,Germany,Right,4,3,High/High,Lean (185+),Yes,108900000,67,84,83,79,56,71
P. Pogba,Paul Pogba,87,87,28,191,84,Manchester United,English Premier League,RDM,France,Right,4,5,High/Medium,Unique,Yes,147100000,71,81,86,86,65,83
Marquinhos,Marcos Aoás Corrêa,87,90,27,183,75,Paris Saint-Germain,French Ligue 1,RCB,Brazil,Right,3,3,Medium/High,Normal (170-185),Yes,174200000,81,53,75,73,89,81
L. Goretzka,Leon Christoph Goretzka,87,88,26,189,82,FC Bayern München,German 1. Bundesliga,LDM,Germany,Right,4,3,High/Medium,Unique,Yes,160400000,81,82,82,84,81,86
P. Dybala,Paulo Bruno Exequiel Dybala,87,88,27,177,75,Juventus,Italian Serie A,CAM,Argentina,Left,3,4,Medium/Medium,Unique,Yes,160400000,84,86,86,91,40,60
T. Alexander-Arnold,Trent Alexander-Arnold,87,92,22,180,69,Liverpool,English Premier League,RB,England,Right,4,3,High/Medium,Unique,Yes,219500000,79,68,88,80,80,72
J. Sancho,Jadon Sancho,87,91,21,180,76,Manchester United,English Premier League,LM,England,Right,3,5,High/Medium,Unique,Yes,224300000,81,76,82,91,36,65
Rúben Dias,Rúben dos Santos Gato Alves Dias,87,91,24,187,82,Manchester City,English Premier League,RCB,Portugal,Right,4,2,Medium/High,Normal (185+),Yes,197300000,61,38,65,67,88,88
M. Hummels,Mats Hummels,86,86,32,191,96,Borussia Dortmund,German 1. Bundesliga,LCB,Germany,Right,3,3,High/High,Normal (185+),Yes,74800000,56,59,77,72,89,77
Jordi Alba,Jordi Alba Ramos,86,86,32,170,68,FC Barcelona,Spain Primera Division,LB,Spain,Left,3,3,High/Medium,Unique,Yes,96400000,86,69,81,83,77,71
Thiago,Thiago Alcântara do Nascimento,86,86,30,174,70,Liverpool,English Premier League,LCM,Spain,Right,3,5,Medium/Medium,Normal (170-185),Yes,120300000,63,72,86,90,70,66
Sergio Busquets,Sergio Busquets i Burgos,86,86,32,189,76,FC Barcelona,Spain Primera Division,CDM,Spain,Right,3,3,Medium/Medium,Lean (185+),Yes,92300000,42,62,79,80,82,75
Parejo,Daniel Parejo Muñoz,86,86,32,182,74,Villarreal CF,Spain Primera Division,LCM,Spain,Right,4,3,Medium/Medium,Lean (170-185),Yes,112400000,50,83,90,81,71,69
K. Casteels,Koen Casteels,86,87,29,197,86,VfL Wolfsburg,German 1. Bundesliga,GK,Belgium,Left,2,1,Medium/Medium,Normal (185+),Yes,92300000,,,,,,
R. Varane,Raphaël Varane,86,88,28,191,81,Manchester United,English Premier League,RCB,France,Right,3,2,Medium/High,Unique,Yes,131900000,82,49,64,63,87,82
Gerard Moreno,Gerard Moreno Balagueró,86,86,29,180,77,Villarreal CF,Spain Primera Division,RS,Spain,Left,4,3,High/Medium,Lean (170-185),Yes,142800000,79,86,77,84,46,73
J. Vardy,Jamie Vardy,86,86,34,179,74,Leicester City,English Premier League,ST,England,Right,4,3,High/Medium,Unique,Yes,62700000,85,84,70,80,52,73
Fabinho,Fábio Henrique Tavares,86,88,27,188,78,Liverpool,English Premier League,CDM,Brazil,Right,2,3,Medium/High,Unique,Yes,141500000,67,69,78,77,85,83
João Cancelo,João Pedro Cavaco Cancelo,86,87,27,182,74,Manchester City,English Premier League,LB,Portugal,Right,4,4,High/Medium,Unique,Yes,137600000,85,71,83,84,80,72
A. Laporte,Aymeric Laporte,86,89,27,191,85,Manchester City,English Premier League,LCB,Spain,Left,3,2,Medium/Medium,Unique,Yes,148200000,63,50,72,68,86,80
K. Coman,Kingsley Junior Coman,86,87,25,180,76,FC Bayern München,German 1. Bundesliga,SUB,France,Right,3,4,Medium/Medium,Unique,Yes,139700000,93,76,79,88,30,60
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,86,87,26,173,64,Manchester City,English Premier League,SUB,Portugal,Left,3,4,High/High,Lean (170-185),Yes,154000000,80,76,83,91,54,67
Marcos Llorente,Marcos Llorente Moreno,86,89,26,184,74,Atlético de Madrid,Spain Primera Division,RM,Spain,Right,4,3,High/Medium,Lean (170-185),Yes,187000000,88,80,81,82,78,82
Rodri,Rodrigo Hernández Cascante,86,89,25,191,82,Manchester City,English Premier League,CDM,Spain,Right,4,3,Medium/High,Normal (185+),Yes,155900000,61,70,77,77,82,82
A. Gómez,Alejandro Darío Gómez,85,85,33,167,68,Sevilla FC,Spain Primera Division,LCM,Argentina,Right,4,4,High/Medium,Normal (170-),Yes,70400000,87,78,84,87,39,55
Thiago Silva,Thiago Emiliano da Silva,85,85,36,183,79,Chelsea,English Premier League,SUB,Brazil,Right,3,2,Medium/High,Normal (170-185),Yes,17600000,53,54,72,71,86,78
David Silva,David Josué Jiménez Silva,85,85,35,173,67,Real Sociedad,Spain Primera Division,CAM,Spain,Left,2,4,High/Medium,Normal (170-185),Yes,46200000,63,74,87,87,52,53
E. Hazard,Eden Hazard,85,85,30,175,74,Real Madrid CF,Spain Primera Division,LW,Belgium,Right,4,4,Medium/Medium,Unique,Yes,106600000,84,80,82,88,35,63
I. Gündoğan,İlkay Gündoğan,85,85,30,180,80,Manchester City,English Premier League,LCM,Germany,Right,4,4,High/Medium,Normal (170-185),Yes,95300000,65,80,85,86,73,72
M. Reus,Marco Reus,85,85,32,180,71,Borussia Dortmund,German 1. Bundesliga,CAM,Germany,Right,4,4,High/Medium,Unique,Yes,73100000,73,84,84,85,47,63
K. Walker,Kyle Walker,85,85,31,183,83,Manchester City,English Premier League,RB,England,Right,2,3,High/High,Unique,Yes,72200000,92,63,76,78,80,82
Koke,Jorge Resurrección Merodio,85,85,29,176,75,Atlético de Madrid,Spain Primera Division,RCM,Spain,Right,4,3,Medium/Medium,Normal (170-185),Yes,107600000,70,75,85,81,79,80
A. Griezmann,Antoine Griezmann,85,85,30,176,73,Atlético de Madrid,Spain Primera Division,LS,France,Left,3,4,Medium/Medium,Unique,Yes,,80,84,84,87,52,72
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,85,85,29,181,76,Liverpool,English Premier League,CF,Brazil,Right,4,5,High/High,Unique,Yes,99900000,77,78,79,89,59,78
Carvajal,Daniel Carvajal Ramos,85,85,29,173,73,Real Madrid CF,Spain Primera Division,RB,Spain,Right,3,3,High/Medium,Unique,Yes,97400000,80,54,78,80,81,80
S. Gnabry,Serge David Gnabry,85,86,25,176,77,FC Bayern München,German 1. Bundesliga,RM,Germany,Right,4,4,High/Medium,Unique,Yes,111300000,83,84,79,86,43,69
Oyarzabal,Mikel Oyarzabal Ugarte,85,89,24,181,79,Real Sociedad,Spain Primera Division,LW,Spain,Left,3,3,High/Medium,Lean (170-185),Yes,168600000,82,82,81,84,41,63
L. Martínez,Lautaro Javier Martínez,85,89,23,174,72,Inter,Italian Serie A,LS,Argentina,Right,4,4,High/Medium,Unique,Yes,138500000,84,81,72,85,48,84
M. Rashford,Marcus Rashford,85,89,23,186,70,Manchester United,English Premier League,SUB,England,Right,3,5,High/Medium,Unique,Yes,149200000,90,84,79,85,43,77
Jesús Navas,Jesús Navas González,84,84,35,172,60,Sevilla FC,Spain Primera Division,RB,Spain,Right,2,4,High/Medium,Lean (170-),Yes,27300000,87,69,81,84,79,58
Piqué,Gerard Piqué Bernabéu,84,84,34,194,85,FC Barcelona,Spain Primera Division,LCB,Spain,Right,3,2,High/Medium,Unique,Yes,27700000,58,61,71,67,85,78
D. Mertens,Dries Mertens,84,84,34,169,61,Napoli,Italian Serie A,SUB,Belgium,Right,4,4,High/Low,Unique,Yes,34900000,85,82,80,88,34,50
J. Henderson,Jordan Henderson,84,84,31,182,80,Liverpool,English Premier League,RCM,England,Right,3,3,High/High,Normal (170-185),Yes,54600000,66,74,83,78,78,81
Fernando,Fernando Francisco Reges,84,84,33,183,76,Sevilla FC,Spain Primera Division,CDM,Brazil,Right,3,3,Medium/Medium,Lean (170-185),Yes,44100000,66,62,75,73,83,82
K. Trippier,Kieran Trippier,84,84,30,173,69,Atlético de Madrid,Spain Primera Division,SUB,England,Right,4,3,Medium/Medium,Normal (170-185),Yes,74800000,73,63,82,77,80,72
Iago Aspas,Iago Aspas Juncal,84,84,33,176,67,RC Celta de Vigo,Spain Primera Division,RS,Spain,Left,4,3,High/High,Lean (170-185),Yes,56700000,82,85,79,86,35,63
De Gea,David De Gea Quintana,84,84,30,192,82,Manchester United,English Premier League,GK,Spain,Right,3,1,Medium/Medium,Unique,Yes,51800000,,,,,,
Luis Alberto,Luis Alberto Romero Alconchel,84,84,28,183,74,Lazio,Italian Serie A,LCM,Spain,Right,3,4,Medium/Medium,Lean (170-185),Yes,72300000,60,76,86,85,57,59
W. Ben Yedder,Wissam Ben Yedder,84,84,30,170,68,AS Monaco,French Ligue 1,ST,France,Right,5,4,High/Low,Unique,Yes,78900000,82,84,77,88,39,70
L. Digne,Lucas Digne,84,84,27,178,74,Everton,English Premier League,LB,France,Left,2,3,High/Medium,Unique,Yes,77000000,79,69,80,80,80,76
E. Martínez,Damián Emiliano Martínez,84,85,28,195,88,Aston Villa,English Premier League,GK,Argentina,Right,4,1,Medium/Medium,Stocky (185+),Yes,66200000,,,,,,
H. Maguire,Harry Maguire,84,86,28,194,100,Manchester United,English Premier League,LCB,England,Right,3,2,High/High,Stocky (185+),Yes,81800000,50,55,69,70,85,87
L. Shaw,Luke Shaw,84,86,25,181,75,Manchester United,English Premier League,LB,England,Left,2,3,High/Medium,Stocky (170-185),Yes,93400000,79,54,79,80,81,80
J. Grealish,Jack Grealish,84,85,25,180,81,Manchester City,English Premier League,LW,England,Right,3,4,High/Medium,Unique,Yes,97200000,80,76,83,88,46,64
M. Ginter,Matthias Ginter,84,85,27,191,86,Borussia Mönchengladbach,German 1. Bundesliga,RCB,Germany,Right,3,2,Medium/Medium,Normal (185+),Yes,75400000,62,58,72,65,86,79
Felipe,Felipe Augusto de Almeida Monteiro,84,84,32,190,84,Atlético de Madrid,Spain Primera Division,SUB,Brazil,Right,3,2,Low/High,Normal (185+),Yes,56400000,61,41,58,61,85,84
Y. Carrasco,Yannick Ferreira Carrasco,84,84,27,185,73,Atlético de Madrid,Spain Primera Division,LM,Belgium,Right,4,4,High/High,Lean (185+),Yes,92300000,88,81,78,86,45,67
R. Guerreiro,Raphaël Adelino José Guerreiro,84,84,27,170,71,Borussia Dortmund,German 1. Bundesliga,LB,Portugal,Left,2,4,High/Low,Normal (170-),Yes,68900000,75,77,85,88,76,58
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,84,84,27,175,70,Leicester City,English Premier League,RB,Portugal,Right,4,3,High/High,Unique,Yes,77000000,83,67,78,82,80,75
T. Werner,Timo Werner,84,87,25,180,76,Chelsea,English Premier League,SUB,Germany,Right,4,3,High/Medium,Unique,Yes,108800000,91,81,70,83,35,70
M. Maignan,Mike Maignan,84,89,25,191,89,AC Milan,Italian Serie A,GK,France,Right,4,1,Medium/Medium,Normal (185+),No,87900000,,,,,,
Y. Tielemans,Youri Tielemans,84,87,24,176,72,Leicester City,English Premier League,RDM,Belgium,Right,5,4,Medium/Medium,Normal (170-185),Yes,112600000,63,79,86,80,71,72
N. Fekir,Nabil Fekir,84,84,27,173,75,Real Betis Balompié,Spain Primera Division,CAM,France,Left,4,4,High/Medium,Stocky (170-185),Yes,94500000,83,83,82,87,38,79
L. Sané,Leroy Aziz Sané,84,87,25,183,80,FC Bayern München,German 1. Bundesliga,LM,Germany,Left,2,4,Medium/Low,Unique,Yes,96600000,90,81,79,85,38,68
M. Acuña,Marcos Javier Acuña,84,84,29,172,69,Sevilla FC,Spain Primera Division,LB,Argentina,Left,3,4,High/High,Stocky (170-185),No,77700000,76,74,82,87,79,82
André Silva,André Miguel Valente da Silva,84,85,25,185,84,RB Leipzig,German 1. Bundesliga,ST,Portugal,Right,3,4,Medium/Medium,Normal (185+),Yes,90500000,74,84,69,83,45,77
T. Hernández,Theo Bernard François Hernández,84,90,23,184,81,AC Milan,Italian Serie A,LB,France,Left,3,3,High/Medium,Unique,Yes,118800000,93,71,76,81,77,82
K. Havertz,Kai Lukas Havertz,84,92,22,188,82,Chelsea,English Premier League,SUB,Germany,Left,4,4,Medium/Medium,Unique,Yes,193700000,82,78,79,84,45,66
P. Foden,Philip Foden,84,92,21,171,69,Manchester City,English Premier League,SUB,England,Left,3,4,High/Medium,Lean (170-185),Yes,193700000,84,78,80,87,56,57
Fernandinho,Fernando Luiz Rosa,83,83,36,179,67,Manchester City,English Premier League,SUB,Brazil,Right,4,3,Medium/High,Lean (170-185),Yes,13000000,59,72,75,77,84,75
C. Vela,Carlos Alberto Vela Garrido,83,83,32,177,77,Los Angeles FC,USA Major League Soccer,RW,Mexico,Left,2,4,High/Low,Normal (170-185),Yes,43500000,80,82,78,84,31,67
A. Witsel,Axel Witsel,83,83,32,186,81,Borussia Dortmund,German 1. Bundesliga,SUB,Belgium,Right,4,4,Medium/Medium,Unique,Yes,40800000,61,72,81,78,82,79
Sergio Asenjo,Sergio Asenjo Andrés,83,83,32,189,87,Villarreal CF,Spain Primera Division,SUB,Spain,Right,3,1,Medium/Medium,Stocky (185+),No,37800000,,,,,,
J. Boateng,Jérôme Boateng,83,83,32,190,94,Olympique Lyonnais,French Ligue 1,RES,Germany,Right,4,2,Medium/Medium,Stocky (185+),Yes,44700000,72,50,73,66,84,79
T. Alderweireld,Toby Alderweireld,83,83,32,186,81,,,,Belgium,Right,3,2,Medium/Medium,Normal (185+),Yes,,58,55,70,66,86,77
Azpilicueta,César Azpilicueta Tanco,83,83,31,178,77,Chelsea,English Premier League,RWB,Spain,Right,3,2,Medium/Medium,Normal (170-185),Yes,46300000,66,55,76,72,84,76
Paulinho,José Paulo Bezzera Maciel Júnior,83,83,32,183,80,Al Ahli,Saudi Abdul L. Jameel League,LCM,Brazil,Right,4,4,High/High,Normal (170-185),Yes,48500000,72,81,77,81,80,85
Muniain,Iker Muniain Goñi,83,83,28,170,66,Athletic Club de Bilbao,Spain Primera Division,LM,Spain,Right,3,4,High/Medium,Normal (170-),Yes,76700000,81,76,82,87,51,61
Canales,Sergio Canales Madrazo,83,83,30,176,65,Real Betis Balompié,Spain Primera Division,LM,Spain,Left,3,4,High/Medium,Lean (170-185),Yes,72500000,83,80,85,82,67,71
Alex Sandro,Alex Sandro Lobo Silva,83,83,30,180,80,Juventus,Italian Serie A,LB,Brazil,Left,3,3,High/Medium,Unique,Yes,52000000,81,65,77,79,78,79
B. Leno,Bernd Leno,83,84,29,190,83,Arsenal,English Premier League,GK,Germany,Right,3,1,Medium/Medium,Normal (185+),Yes,55300000,,,,,,
Allan,Allan Marques Loureiro,83,83,30,175,74,Everton,English Premier League,LDM,Brazil,Right,3,4,Medium/High,Normal (170-185),Yes,58000000,72,71,77,81,80,79
K. Volland,Kevin Volland,83,83,28,179,85,AS Monaco,French Ligue 1,RF,Germany,Left,4,3,High/High,Stocky (170-185),Yes,70300000,73,85,79,80,42,86
Morata,Álvaro Borja Morata Martín,83,83,28,190,84,Juventus,Italian Serie A,ST,Spain,Right,4,3,Medium/Medium,Unique,Yes,,82,80,72,81,31,77
M. Icardi,Mauro Emanuel Icardi Rivero,83,83,28,181,75,Paris Saint-Germain,French Ligue 1,SUB,Argentina,Right,4,3,Medium/Medium,Unique,Yes,68500000,69,83,65,77,36,69
J. Stones,John Stones,83,86,27,188,76,Manchester City,English Premier League,SUB,England,Right,4,3,High/Medium,Lean (185+),Yes,78900000,70,51,71,74,84,78
N. Pope,Nick Pope,83,83,29,199,76,Burnley,English Premier League,GK,England,Right,3,1,Medium/Medium,Lean (185+),Yes,47500000,,,,,,
R. Jiménez,Raúl Alonso Jiménez Rodríguez,83,83,30,188,81,Wolverhampton Wanderers,English Premier League,ST,Mexico,Right,4,3,High/High,Normal (185+),Yes,67500000,72,82,76,81,47,82
J. Pickford,Jordan Pickford,83,85,27,185,77,Everton,English Premier League,GK,England,Left,4,1,Medium/Medium,Normal (185+),Yes,65200000,,,,,,
A. Rüdiger,Antonio Rüdiger,83,84,28,190,85,Chelsea,English Premier League,LCB,Germany,Right,3,2,Medium/High,Lean (185+),Yes,66400000,75,43,68,63,84,84
L. Ocampos,Lucas Ariel Ocampos,83,83,26,188,84,Sevilla FC,Spain Primera Division,LW,Argentina,Right,3,4,High/High,Normal (185+),No,83000000,81,84,78,83,63,84
Gayà,José Luís Gayà Peña,83,86,26,172,66,Valencia CF,Spain Primera Division,LB,Spain,Left,3,4,High/Medium,Lean (170-185),Yes,94600000,83,61,77,80,79,73
T. Lemar,Thomas Lemar,83,86,25,171,66,Atlético de Madrid,Spain Primera Division,LCM,France,Left,3,4,High/Medium,Lean (170-185),Yes,102000000,82,76,82,87,59,63
A. Correa,Ángel Martín Correa,83,86,26,171,70,Atlético de Madrid,Spain Primera Division,SUB,Argentina,Right,4,4,High/Medium,Normal (170-185),Yes,102000000,85,83,78,88,49,74
Angeliño,José Ángel Esmoris Tasende,83,86,24,175,69,RB Leipzig,German 1. Bundesliga,LB,Spain,Left,3,4,High/High,Normal (170-185),Yes,81700000,78,71,82,84,76,70
L. Hernández,Lucas François Bernard Hernández Pi,83,86,25,184,79,FC Bayern München,German 1. Bundesliga,SUB,France,Left,3,2,Low/High,Unique,Yes,76800000,77,54,68,70,84,79
Marco Asensio,Marco Asensio Willemsen,83,86,25,182,76,Real Madrid CF,Spain Primera Division,SUB,Spain,Left,3,4,High/Medium,Normal (170-185),Yes,102000000,82,80,81,83,43,62
R. Gosens,Robin Everardus Gosens,83,83,26,183,76,Atalanta,Italian Serie A,LM,Germany,Left,3,3,High/Medium,Normal (170-185),No,61200000,82,75,74,79,77,81
Merino,Mikel Merino Zazón,83,87,25,189,83,Real Sociedad,Spain Primera Division,RCM,Spain,Left,3,3,High/High,Normal (185+),Yes,108800000,74,78,81,82,82,81
P. Kimpembe,Presnel Kimpembe,83,87,25,189,80,Paris Saint-Germain,French Ligue 1,SUB,France,Left,3,2,Medium/High,Normal (185+),Yes,87600000,81,42,68,69,83,86
F. Mendy,Ferland Mendy,83,86,26,180,73,Real Madrid CF,Spain Primera Division,SUB,France,Left,5,4,High/High,Unique,Yes,92400000,92,64,76,80,78,84
A. Wan-Bissaka,Aaron Wan-Bissaka,83,87,23,183,72,Manchester United,English Premier League,RB,England,Right,2,4,Medium/High,Unique,Yes,93400000,85,52,69,79,81,75
Ronaldo Cabrais,Ronaldo Jailson Cabrais Petri,83,83,29,177,75,Grêmio,Campeonato Brasileiro Série A,CAM,Brazil,Right,4,4,Medium/Low,Normal (170-185),No,67500000,88,77,83,84,35,72
Arthur,Arthur Henrique Ramos de Oliveira Melo,83,85,24,171,73,Juventus,Italian Serie A,SUB,Brazil,Right,3,4,Medium/Medium,Unique,Yes,81100000,69,67,83,88,72,70
Gabriel Jesus,Gabriel Fernando de Jesus,83,87,24,175,73,Manchester City,English Premier League,SUB,Brazil,Right,3,4,High/Medium,Unique,Yes,101100000,84,81,72,87,39,73
O. Dembélé,Ousmane Dembélé,83,88,24,178,67,FC Barcelona,Spain Primera Division,RW,France,Left,5,5,High/Medium,Unique,Yes,116900000,93,77,77,87,36,56
M. Mount,Mason Mount,83,89,22,178,70,Chelsea,English Premier League,RW,England,Right,4,3,High/High,Lean (170-185),Yes,119900000,74,79,84,83,55,65
J. Koundé,Jules Koundé,83,89,22,181,75,Sevilla FC,Spain Primera Division,RCB,France,Right,3,2,High/High,Normal (170-185),No,121900000,81,45,64,72,84,78
João Félix,João Félix Sequeira,83,91,21,181,72,Atlético de Madrid,Spain Primera Division,SUB,Portugal,Right,4,5,Medium/Medium,Unique,Yes,184500000,82,79,76,86,40,68
Pepe,Kléper Laveran de Lima Ferreira,82,82,38,188,80,FC Porto,Portuguese Liga ZON SAGRES,LCB,Portugal,Right,3,2,Medium/High,Lean (185+),Yes,11000000,80,51,60,60,82,87
Raúl Albiol,Raúl Albiol Tortajada,82,82,35,190,82,Villarreal CF,Spain Primera Division,RCB,Spain,Right,3,2,Low/High,Lean (185+),Yes,16800000,40,41,62,62,86,73
Rui Patrício,Rui Pedro dos Santos Patrício,82,82,33,190,84,Roma,Italian Serie A,GK,Portugal,Left,2,1,Medium/Medium,Normal (185+),Yes,17000000,,,,,,
E. Banega,Éver Maximiliano David Banega,82,82,33,174,75,Al Shabab,Saudi Abdul L. Jameel League,CAM,Argentina,Right,4,4,High/Medium,Normal (170-185),Yes,25500000,62,75,84,82,76,71
Yuri Berchiche,Yuri Berchiche Izeta,82,82,31,181,80,Athletic Club de Bilbao,Spain Primera Division,SUB,Spain,Left,3,3,High/Medium,Normal (170-185),Yes,46200000,83,68,76,76,79,82
L. Stindl,Lars Edi Stindl,82,82,32,181,80,Borussia Mönchengladbach,German 1. Bundesliga,CAM,Germany,Right,4,4,Medium/Medium,Normal (170-185),Yes,40800000,61,84,81,81,60,73
Oscar,Oscar dos Santos Emboaba Júnior,82,82,29,179,70,Shanghai Port FC,Chinese Super League,CAM,Brazil,Right,3,4,High/Medium,Lean (170-185),Yes,46500000,78,79,82,82,59,67
K. Trapp,Kevin Trapp,82,82,30,189,88,Eintracht Frankfurt,German 1. Bundesliga,GK,Germany,Right,4,1,Medium/Medium,Normal (185+),Yes,34900000,,,,,,
Coutinho,Philippe Coutinho Correia,82,82,29,172,68,FC Barcelona,Spain Primera Division,SUB,Brazil,Right,4,5,High/Medium,Normal (170-185),Yes,61500000,69,79,80,89,52,59
M. Götze,Mario Götze,82,82,29,177,71,PSV,Holland Eredivisie,CAM,Germany,Right,4,4,Medium/Medium,Normal (170-185),Yes,42000000,68,75,83,84,55,69
A. Areola,Alphonse Areola,82,84,28,195,94,West Ham United,English Premier League,SUB,France,Right,3,1,Medium/Medium,Unique,Yes,,,,,,,
J. Corona,Jesús Manuel Corona Ruíz,82,82,28,173,66,FC Porto,Portuguese Liga ZON SAGRES,SUB,Mexico,Right,5,5,High/Medium,Normal (170-185),Yes,61000000,83,67,79,85,74,60
A. Lacazette,Alexandre Lacazette,82,82,30,175,73,Arsenal,English Premier League,SUB,France,Right,4,4,High/High,Unique,Yes,57000000,75,82,74,82,44,72
O. Baumann,Oliver Baumann,82,82,31,187,82,TSG Hoffenheim,German 1. Bundesliga,GK,Germany,Right,1,1,Medium/Medium,Normal (185+),Yes,27200000,,,,,,
Neto,Norberto Murara Neto,82,82,31,190,84,FC Barcelona,Spain Primera Division,SUB,Brazil,Right,2,1,Medium/Medium,Lean (185+),Yes,32800000,,,,,,
Isco,Francisco Román Alarcón Suárez,82,82,29,176,79,Real Madrid CF,Spain Primera Division,SUB,Spain,Right,3,4,Medium/Low,Normal (170-185),Yes,61500000,66,75,80,89,59,59
A. Lopes,Anthony Lopes,82,83,30,184,81,Olympique Lyonnais,French Ligue 1,GK,Portugal,Left,2,1,Medium/Medium,Normal (170-185),Yes,45400000,,,,,,
Campaña,José Ángel Gómez Campaña,82,82,28,179,70,Levante Unión Deportiva,Spain Primera Division,LCM,Spain,Right,3,4,Medium/Medium,Lean (170-185),Yes,64100000,68,74,83,82,71,72
Gabriel Paulista,Gabriel Armando de Abreu,82,82,30,185,72,Valencia CF,Spain Primera Division,RCB,Brazil,Right,2,2,Low/High,Lean (185+),Yes,52500000,67,49,71,65,84,83
