short_name,long_name,overall,potential,age,height_cm,weight_kg,club_name,league_name,club_position,nationality,preferred_foot,weak_foot,skill_moves,work_rate,body_type,real_face,release_clause_eur,pace,shooting,passing,dribbling,defending,physic
L. Modrić,Luka Modrić,87,87,35,172,66,Real Madrid CF,Spain Primera Division,RCM,Croatia,Right,4,4,Medium/Medium,Lean (170-185),Yes,65600000,73,76,89,88,72,66
A. Di María,Ángel Fabián Di María Hernández,87,87,33,180,69,Paris Saint-Germain,French Ligue 1,SUB,Argentina,Left,2,5,High/Medium,Unique,Yes,91600000,83,81,86,88,48,69
W. Szczęsny,Wojciech Tomasz Szczęsny,87,87,31,195,90,Juventus,Italian Serie A,GK,Poland,Right,3,1,Medium/Medium,Lean (185+),Yes,69300000,,,,,,
T. Müller,Thomas Müller,87,87,31,185,76,FC Bayern München,German 1. Bundesliga,CAM,Germany,Right,4,3,High/High,Lean (185+),Yes,108900000,67,84,83,79,56,71
C. Immobile,Ciro Immobile,87,87,31,185,85,Lazio,Italian Serie A,ST,Italy,Right,4,3,High/Medium,Unique,Yes,114800000,86,87,67,81,39,77
P. Pogba,Paul Pogba,87,87,28,191,84,Manchester United,English Premier League,RDM,France,Right,4,5,High/Medium,Unique,Yes,147100000,71,81,86,86,65,83
M. Verratti,Marco Verratti,87,87,28,165,60,Paris Saint-Germain,French Ligue 1,LCM,Italy,Right,4,4,Medium/High,Unique,Yes,147100000,64,61,87,91,79,67
Marquinhos,Marcos Aoás Corrêa,87,90,27,183,75,Paris Saint-Germain,French Ligue 1,RCB,Brazil,Right,3,3,Medium/High,Normal (170-185),Yes,174200000,81,53,75,73,89,81
L. Goretzka,Leon Christoph Goretzka,87,88,26,189,82,FC Bayern München,German 1. Bundesliga,LDM,Germany,Right,4,3,High/Medium,Unique,Yes,160400000,81,82,82,84,81,86
P. Dybala,Paulo Bruno Exequiel Dybala,87,88,27,177,75,Juventus,Italian Serie A,CAM,Argentina,Left,3,4,Medium/Medium,Unique,Yes,160400000,84,86,86,91,40,60
A. Robertson,Andrew Robertson,87,88,27,178,64,Liverpool,English Premier League,LB,Scotland,Left,2,3,High/High,Unique,Yes,160700000,84,61,81,81,82,76
F. de Jong,Frenkie de Jong,87,92,24,180,74,FC Barcelona,Spain Primera Division,RCM,Netherlands,Right,3,4,High/Medium,Unique,Yes,253900000,81,69,85,88,77,78
T. Alexander-Arnold,Trent Alexander-Arnold,87,92,22,180,69,Liverpool,English Premier League,RB,England,Right,4,3,High/Medium,Unique,Yes,219500000,79,68,88,80,80,72
J. Sancho,Jadon Sancho,87,91,21,180,76,Manchester United,English Premier League,LM,England,Right,3,5,High/Medium,Unique,Yes,224300000,81,76,82,91,36,65
Rúben Dias,Rúben dos Santos Gato Alves Dias,87,91,24,187,82,Manchester City,English Premier League,RCB,Portugal,Right,4,2,Medium/High,Normal (185+),Yes,197300000,61,38,65,67,88,88
G. Chiellini,Giorgio Chiellini,86,86,36,187,85,Juventus,Italian Serie A,SUB,Italy,Left,3,2,Medium/High,Normal (185+),Yes,19800000,68,46,60,58,89,85
S. Handanovič,Samir Handanovič,86,86,36,193,92,Inter,Italian Serie A,GK,Slovenia,Right,3,1,Medium/Medium,Unique,Yes,12800000,,,,,,
M. Hummels,Mats Hummels,86,86,32,191,96,Borussia Dortmund,German 1. Bundesliga,LCB,Germany,Right,3,3,High/High,Normal (185+),Yes,74800000,56,59,77,72,89,77
Jordi Alba,Jordi Alba Ramos,86,86,32,170,68,FC Barcelona,Spain Primera Division,LB,Spain,Left,3,3,High/Medium,Unique,Yes,96400000,86,69,81,83,77,71
Thiago,Thiago Alcântara do Nascimento,86,86,30,174,70,Liverpool,English Premier League,LCM,Spain,Right,3,5,Medium/Medium,Normal (170-185),Yes,120300000,63,72,86,90,70,66
Sergio Busquets,Sergio Busquets i Burgos,86,86,32,189,76,FC Barcelona,Spain Primera Division,CDM,Spain,Right,3,3,Medium/Medium,Lean (185+),Yes,92300000,42,62,79,80,82,75
Parejo,Daniel Parejo Muñoz,86,86,32,182,74,Villarreal CF,Spain Primera Division,LCM,Spain,Right,4,3,Medium/Medium,Lean (170-185),Yes,112400000,50,83,90,81,71,69
K. Casteels,Koen Casteels,86,87,29,197,86,VfL Wolfsburg,German 1. Bundesliga,GK,Belgium,Left,2,1,Medium/Medium,Normal (185+),Yes,92300000,,,,,,
L. Insigne,Lorenzo Insigne,86,86,30,163,59,Napoli,Italian Serie A,LW,Italy,Right,4,4,High/Medium,Unique,Yes,111400000,87,78,85,90,36,45
K. Koulibaly,Kalidou Koulibaly,86,86,30,187,89,Napoli,Italian Serie A,LCB,Senegal,Right,3,2,Medium/High,Unique,Yes,94400000,81,28,51,65,87,85
R. Varane,Raphaël Varane,86,88,28,191,81,Manchester United,English Premier League,RCB,France,Right,3,2,Medium/High,Unique,Yes,131900000,82,49,64,63,87,82
R. Mahrez,Riyad Mahrez,86,86,30,179,67,Manchester City,English Premier League,RW,Algeria,Left,4,5,Medium/Medium,Unique,Yes,121200000,81,79,81,90,38,60
Gerard Moreno,Gerard Moreno Balagueró,86,86,29,180,77,Villarreal CF,Spain Primera Division,RS,Spain,Left,4,3,High/Medium,Lean (170-185),Yes,142800000,79,86,77,84,46,73
J. Vardy,Jamie Vardy,86,86,34,179,74,Leicester City,English Premier League,ST,England,Right,4,3,High/Medium,Unique,Yes,62700000,85,84,70,80,52,73
Fabinho,Fábio Henrique Tavares,86,88,27,188,78,Liverpool,English Premier League,CDM,Brazil,Right,2,3,Medium/High,Unique,Yes,141500000,67,69,78,77,85,83
João Cancelo,João Pedro Cavaco Cancelo,86,87,27,182,74,Manchester City,English Premier League,LB,Portugal,Right,4,4,High/Medium,Unique,Yes,137600000,85,71,83,84,80,72
A. Laporte,Aymeric Laporte,86,89,27,191,85,Manchester City,English Premier League,LCB,Spain,Left,3,2,Medium/Medium,Unique,Yes,148200000,63,50,72,68,86,80
K. Coman,Kingsley Junior Coman,86,87,25,180,76,FC Bayern München,German 1. Bundesliga,SUB,France,Right,3,4,Medium/Medium,Unique,Yes,139700000,93,76,79,88,30,60
Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,86,87,26,173,64,Manchester City,English Premier League,SUB,Portugal,Left,3,4,High/High,Lean (170-185),Yes,154000000,80,76,83,91,54,67
Marcos Llorente,Marcos Llorente Moreno,86,89,26,184,74,Atlético de Madrid,Spain Primera Division,RM,Spain,Right,4,3,High/Medium,Lean (170-185),Yes,187000000,88,80,81,82,78,82
Rodri,Rodrigo Hernández Cascante,86,89,25,191,82,Manchester City,English Premier League,CDM,Spain,Right,4,3,Medium/High,Normal (185+),Yes,155900000,61,70,77,77,82,82
M. Škriniar,Milan Škriniar,86,88,26,188,80,Inter,Italian Serie A,RCB,Slovakia,Right,3,2,Medium/High,Unique,Yes,131400000,80,41,53,68,87,84
A. Gómez,Alejandro Darío Gómez,85,85,33,167,68,Sevilla FC,Spain Primera Division,LCM,Argentina,Right,4,4,High/Medium,Normal (170-),Yes,70400000,87,78,84,87,39,55
K. Schmeichel,Kasper Peter Schmeichel,85,85,34,189,89,Leicester City,English Premier League,GK,Denmark,Right,3,1,Medium/Medium,Stocky (185+),Yes,17100000,,,,,,
Thiago Silva,Thiago Emiliano da Silva,85,85,36,183,79,Chelsea,English Premier League,SUB,Brazil,Right,3,2,Medium/High,Normal (170-185),Yes,17600000,53,54,72,71,86,78
David Silva,David Josué Jiménez Silva,85,85,35,173,67,Real Sociedad,Spain Primera Division,CAM,Spain,Left,2,4,High/Medium,Normal (170-185),Yes,46200000,63,74,87,87,52,53
Y. Sommer,Yann Sommer,85,85,32,183,79,Borussia Mönchengladbach,German 1. Bundesliga,GK,Switzerland,Right,4,1,Medium/Medium,Normal (170-185),Yes,45100000,,,,,,
E. Cavani,Edinson Roberto Cavani Gómez,85,85,34,185,77,Manchester United,English Premier League,SUB,Uruguay,Right,4,3,High/High,Unique,Yes,48100000,66,86,70,75,51,79
E. Hazard,Eden Hazard,85,85,30,175,74,Real Madrid CF,Spain Primera Division,LW,Belgium,Right,4,4,Medium/Medium,Unique,Yes,106600000,84,80,82,88,35,63
L. Bonucci,Leonardo Bonucci,85,85,34,190,85,Juventus,Italian Serie A,RCB,Italy,Right,4,2,Medium/High,Lean (185+),Yes,28900000,64,58,69,71,86,80
P. Gulácsi,Péter Gulácsi,85,85,31,191,86,RB Leipzig,German 1. Bundesliga,GK,Hungary,Right,2,1,Medium/Medium,Normal (185+),Yes,48500000,,,,,,
I. Gündoğan,İlkay Gündoğan,85,85,30,180,80,Manchester City,English Premier League,LCM,Germany,Right,4,4,High/Medium,Normal (170-185),Yes,95300000,65,80,85,86,73,72
M. Reus,Marco Reus,85,85,32,180,71,Borussia Dortmund,German 1. Bundesliga,CAM,Germany,Right,4,4,High/Medium,Unique,Yes,73100000,73,84,84,85,47,63
K. Walker,Kyle Walker,85,85,31,183,83,Manchester City,English Premier League,RB,England,Right,2,3,High/High,Unique,Yes,72200000,92,63,76,78,80,82
P. Aubameyang,Pierre-Emerick Aubameyang,85,85,32,187,80,Arsenal,English Premier League,ST,Gabon,Right,4,4,Medium/Low,Unique,Yes,82700000,89,85,75,79,35,69
Koke,Jorge Resurrección Merodio,85,85,29,176,75,Atlético de Madrid,Spain Primera Division,RCM,Spain,Right,4,3,Medium/Medium,Normal (170-185),Yes,107600000,70,75,85,81,79,80
A. Griezmann,Antoine Griezmann,85,85,30,176,73,Atlético de Madrid,Spain Primera Division,LS,France,Left,3,4,Medium/Medium,Unique,Yes,,80,84,84,87,52,72
S. de Vrij,Stefan de Vrij,85,85,29,189,78,Inter,Italian Serie A,CB,Netherlands,Right,3,2,Medium/High,Unique,Yes,76500000,72,41,64,69,87,79
Roberto Firmino,Roberto Firmino Barbosa de Oliveira,85,85,29,181,76,Liverpool,English Premier League,CF,Brazil,Right,4,5,High/High,Unique,Yes,99900000,77,78,79,89,59,78
M. Depay,Memphis Depay,85,86,27,176,78,FC Barcelona,Spain Primera Division,LW,Netherlands,Right,3,5,High/Low,Unique,Yes,133900000,82,83,82,85,30,79
Carvajal,Daniel Carvajal Ramos,85,85,29,173,73,Real Madrid CF,Spain Primera Division,RB,Spain,Right,3,3,High/Medium,Unique,Yes,97400000,80,54,78,80,81,80
Jorginho,Luiz Frello Filho Jorge,85,85,29,180,68,Chelsea,English Premier League,LCM,Italy,Right,3,3,Medium/Medium,Lean (170-185),Yes,97100000,55,67,86,81,73,73
S. Gnabry,Serge David Gnabry,85,86,25,176,77,FC Bayern München,German 1. Bundesliga,RM,Germany,Right,4,4,High/Medium,Unique,Yes,111300000,83,84,79,86,43,69
S. Milinković-Savić,Sergej Milinković-Savić,85,87,26,191,76,Lazio,Italian Serie A,RCM,Serbia,Right,5,4,High/Medium,Normal (185+),Yes,117200000,68,79,80,81,79,86
W. Ndidi,Onyinye Wilfred Ndidi,85,88,24,183,74,Leicester City,English Premier League,LDM,Nigeria,Right,4,3,Medium/High,Lean (170-185),Yes,131300000,67,62,69,74,87,83
Oyarzabal,Mikel Oyarzabal Ugarte,85,89,24,181,79,Real Sociedad,Spain Primera Division,LW,Spain,Left,3,3,High/Medium,Lean (170-185),Yes,168600000,82,82,81,84,41,63
L. Martínez,Lautaro Javier Martínez,85,89,23,174,72,Inter,Italian Serie A,LS,Argentina,Right,4,4,High/Medium,Unique,Yes,138500000,84,81,72,85,48,84
M. Rashford,Marcus Rashford,85,89,23,186,70,Manchester United,English Premier League,SUB,England,Right,3,5,High/Medium,Unique,Yes,149200000,90,84,79,85,43,77
A. Hakimi,Achraf Hakimi Mouh,85,88,22,181,73,Paris Saint-Germain,French Ligue 1,RB,Morocco,Right,4,3,High/Medium,Lean (170-185),Yes,133800000,95,71,78,84,76,78
M. de Ligt,Matthijs de Ligt,85,90,21,189,89,Juventus,Italian Serie A,LCB,Netherlands,Right,3,2,Medium/High,Unique,Yes,129400000,73,59,60,68,84,87
Z. Ibrahimović,Zlatan Ibrahimović,84,84,39,195,95,AC Milan,Italian Serie A,SUB,Sweden,Right,4,5,Medium/Low,Unique,Yes,24700000,65,87,78,79,34,77
Jesús Navas,Jesús Navas González,84,84,35,172,60,Sevilla FC,Spain Primera Division,RB,Spain,Right,2,4,High/Medium,Lean (170-),Yes,27300000,87,69,81,84,79,58
Piqué,Gerard Piqué Bernabéu,84,84,34,194,85,FC Barcelona,Spain Primera Division,LCB,Spain,Right,3,2,High/Medium,Unique,Yes,27700000,58,61,71,67,85,78
D. Mertens,Dries Mertens,84,84,34,169,61,Napoli,Italian Serie A,SUB,Belgium,Right,4,4,High/Low,Unique,Yes,34900000,85,82,80,88,34,50
G. Wijnaldum,Georginio Wijnaldum,84,84,30,175,74,Paris Saint-Germain,French Ligue 1,RCM,Netherlands,Right,4,4,High/High,Unique,Yes,74900000,77,75,80,86,79,79
J. Henderson,Jordan Henderson,84,84,31,182,80,Liverpool,English Premier League,RCM,England,Right,3,3,High/High,Normal (170-185),Yes,54600000,66,74,83,78,78,81
Fernando,Fernando Francisco Reges,84,84,33,183,76,Sevilla FC,Spain Primera Division,CDM,Brazil,Right,3,3,Medium/Medium,Lean (170-185),Yes,44100000,66,62,75,73,83,82
K. Trippier,Kieran Trippier,84,84,30,173,69,Atlético de Madrid,Spain Primera Division,SUB,England,Right,4,3,Medium/Medium,Normal (170-185),Yes,74800000,73,63,82,77,80,72
Iago Aspas,Iago Aspas Juncal,84,84,33,176,67,RC Celta de Vigo,Spain Primera Division,RS,Spain,Left,4,3,High/High,Lean (170-185),Yes,56700000,82,85,79,86,35,63
De Gea,David De Gea Quintana,84,84,30,192,82,Manchester United,English Premier League,GK,Spain,Right,3,1,Medium/Medium,Unique,Yes,51800000,,,,,,
D. Alaba,David Olatukunbo Alaba,84,84,29,180,78,Real Madrid CF,Spain Primera Division,LB,Austria,Left,4,3,Medium/Medium,Normal (170-185),Yes,72800000,77,70,81,80,83,76
Luis Alberto,Luis Alberto Romero Alconchel,84,84,28,183,74,Lazio,Italian Serie A,LCM,Spain,Right,3,4,Medium/Medium,Lean (170-185),Yes,72300000,60,76,86,85,57,59
D. Tadić,Dušan Tadić,84,84,32,181,76,Ajax,Holland Eredivisie,LW,Serbia,Left,3,4,Medium/Medium,Unique,Yes,46900000,69,81,85,85,43,76
W. Ben Yedder,Wissam Ben Yedder,84,84,30,170,68,AS Monaco,French Ligue 1,ST,France,Right,5,4,High/Low,Unique,Yes,78900000,82,84,77,88,39,70
L. Digne,Lucas Digne,84,84,27,178,74,Everton,English Premier League,LB,France,Left,2,3,High/Medium,Unique,Yes,77000000,79,69,80,80,80,76
J. Iličić,Josip Iličić,84,84,33,190,79,Atalanta,Italian Serie A,SUB,Slovenia,Left,4,5,Medium/Medium,Lean (185+),Yes,45900000,75,86,84,86,40,67
E. Martínez,Damián Emiliano Martínez,84,85,28,195,88,Aston Villa,English Premier League,GK,Argentina,Right,4,1,Medium/Medium,Stocky (185+),Yes,66200000,,,,,,
H. Maguire,Harry Maguire,84,86,28,194,100,Manchester United,English Premier League,LCB,England,Right,3,2,High/High,Stocky (185+),Yes,81800000,50,55,69,70,85,87
S. Savić,Stefan Savić,84,84,30,187,80,Atlético de Madrid,Spain Primera Division,RCB,Montenegro,Right,3,2,Medium/High,Normal (185+),Yes,70700000,64,35,57,56,87,76
M. Sabitzer,Marcel Sabitzer,84,85,27,178,76,FC Bayern München,German 1. Bundesliga,SUB,Austria,Right,4,3,High/High,Normal (170-185),Yes,82800000,78,84,81,80,67,78
L. Shaw,Luke Shaw,84,86,25,181,75,Manchester United,English Premier League,LB,England,Left,2,3,High/Medium,Stocky (170-185),Yes,93400000,79,54,79,80,81,80
J. Grealish,Jack Grealish,84,85,25,180,81,Manchester City,English Premier League,LW,England,Right,3,4,High/Medium,Unique,Yes,97200000,80,76,83,88,46,64
M. Ginter,Matthias Ginter,84,85,27,191,86,Borussia Mönchengladbach,German 1. Bundesliga,RCB,Germany,Right,3,2,Medium/Medium,Normal (185+),Yes,75400000,62,58,72,65,86,79
Felipe,Felipe Augusto de Almeida Monteiro,84,84,32,190,84,Atlético de Madrid,Spain Primera Division,SUB,Brazil,Right,3,2,Low/High,Normal (185+),Yes,56400000,61,41,58,61,85,84
Y. Carrasco,Yannick Ferreira Carrasco,84,84,27,185,73,Atlético de Madrid,Spain Primera Division,LM,Belgium,Right,4,4,High/High,Lean (185+),Yes,92300000,88,81,78,86,45,67
F. Kostić,Filip Kostić,84,84,28,184,82,Eintracht Frankfurt,German 1. Bundesliga,LM,Serbia,Left,2,3,High/High,Normal (170-185),Yes,72300000,88,77,82,83,68,80
H. Ziyech,Hakim Ziyech,84,84,28,181,65,Chelsea,English Premier League,SUB,Morocco,Left,2,5,High/High,Unique,Yes,78600000,78,76,87,84,50,65
R. Guerreiro,Raphaël Adelino José Guerreiro,84,84,27,170,71,Borussia Dortmund,German 1. Bundesliga,LB,Portugal,Left,2,4,High/Low,Normal (170-),Yes,68900000,75,77,85,88,76,58
Ricardo Pereira,Ricardo Domingos Barbosa Pereira,84,84,27,175,70,Leicester City,English Premier League,RB,Portugal,Right,4,3,High/High,Unique,Yes,77000000,83,67,78,82,80,75
T. Werner,Timo Werner,84,87,25,180,76,Chelsea,English Premier League,SUB,Germany,Right,4,3,High/Medium,Unique,Yes,108800000,91,81,70,83,35,70
M. Maignan,Mike Maignan,84,89,25,191,89,AC Milan,Italian Serie A,GK,France,Right,4,1,Medium/Medium,Normal (185+),No,87900000,,,,,,
M. Brozović,Marcelo Brozović,84,84,28,181,68,Inter,Italian Serie A,CDM,Croatia,Right,4,3,Medium/Medium,Lean (170-185),Yes,62900000,69,74,80,79,79,78
Y. Tielemans,Youri Tielemans,84,87,24,176,72,Leicester City,English Premier League,RDM,Belgium,Right,5,4,Medium/Medium,Normal (170-185),Yes,112600000,63,79,86,80,71,72
J. Giménez,José María Giménez de Vargas,84,88,26,185,79,Atlético de Madrid,Spain Primera Division,CB,Uruguay,Right,3,2,Medium/High,Normal (185+),Yes,110500000,69,45,57,58,86,80
N. Fekir,Nabil Fekir,84,84,27,173,75,Real Betis Balompié,Spain Primera Division,CAM,France,Left,4,4,High/Medium,Stocky (170-185),Yes,94500000,83,83,82,87,38,79
L. Sané,Leroy Aziz Sané,84,87,25,183,80,FC Bayern München,German 1. Bundesliga,LM,Germany,Left,2,4,Medium/Low,Unique,Yes,96600000,90,81,79,85,38,68
N. Barella,Nicolò Barella,84,89,24,172,68,Inter,Italian Serie A,RCM,Italy,Right,3,3,High/High,Normal (170-),Yes,112700000,78,71,79,86,75,78
M. Acuña,Marcos Javier Acuña,84,84,29,172,69,Sevilla FC,Spain Primera Division,LB,Argentina,Left,3,4,High/High,Stocky (170-185),No,77700000,76,74,82,87,79,82
André Silva,André Miguel Valente da Silva,84,85,25,185,84,RB Leipzig,German 1. Bundesliga,ST,Portugal,Right,3,4,Medium/Medium,Normal (185+),Yes,90500000,74,84,69,83,45,77
F. Kessié,Franck Yannick Kessié,84,86,24,183,88,AC Milan,Italian Serie A,LDM,Côte d'Ivoire,Right,4,3,High/High,Normal (170-185),Yes,87900000,78,74,74,79,82,87
T. Hernández,Theo Bernard François Hernández,84,90,23,184,81,AC Milan,Italian Serie A,LB,France,Left,3,3,High/Medium,Unique,Yes,118800000,93,71,76,81,77,82
K. Havertz,Kai Lukas Havertz,84,92,22,188,82,Chelsea,English Premier League,SUB,Germany,Left,4,4,Medium/Medium,Unique,Yes,193700000,82,78,79,84,45,66
P. Foden,Philip Foden,84,92,21,171,69,Manchester City,English Premier League,SUB,England,Left,3,4,High/Medium,Lean (170-185),Yes,193700000,84,78,80,87,56,57
Fernandinho,Fernando Luiz Rosa,83,83,36,179,67,Manchester City,English Premier League,SUB,Brazil,Right,4,3,Medium/High,Lean (170-185),Yes,13000000,59,72,75,77,84,75
C. Vela,Carlos Alberto Vela Garrido,83,83,32,177,77,Los Angeles FC,USA Major League Soccer,RW,Mexico,Left,2,4,High/Low,Normal (170-185),Yes,43500000,80,82,78,84,31,67
A. Witsel,Axel Witsel,83,83,32,186,81,Borussia Dortmund,German 1. Bundesliga,SUB,Belgium,Right,4,4,Medium/Medium,Unique,Yes,40800000,61,72,81,78,82,79
Sergio Asenjo,Sergio Asenjo Andrés,83,83,32,189,87,Villarreal CF,Spain Primera Division,SUB,Spain,Right,3,1,Medium/Medium,Stocky (185+),No,37800000,,,,,,
S. Kjær,Simon Thorup Kjær,83,83,32,190,86,AC Milan,Italian Serie A,RCB,Denmark,Right,3,2,Low/High,Normal (185+),Yes,40000000,67,55,64,58,85,78
E. Džeko,Edin Džeko,83,83,35,193,80,Inter,Italian Serie A,RS,Bosnia and Herzegovina,Right,5,3,Medium/Medium,Lean (185+),Yes,26400000,66,83,72,78,45,76
J. Boateng,Jérôme Boateng,83,83,32,190,94,Olympique Lyonnais,French Ligue 1,RES,Germany,Right,4,2,Medium/Medium,Stocky (185+),Yes,44700000,72,50,73,66,84,79
T. Alderweireld,Toby Alderweireld,83,83,32,186,81,,,,Belgium,Right,3,2,Medium/Medium,Normal (185+),Yes,,58,55,70,66,86,77
Azpilicueta,César Azpilicueta Tanco,83,83,31,178,77,Chelsea,English Premier League,RWB,Spain,Right,3,2,Medium/Medium,Normal (170-185),Yes,46300000,66,55,76,72,84,76
Paulinho,José Paulo Bezzera Maciel Júnior,83,83,32,183,80,Al Ahli,Saudi Abdul L. Jameel League,LCM,Brazil,Right,4,4,High/High,Normal (170-185),Yes,48500000,72,81,77,81,80,85
Muniain,Iker Muniain Goñi,83,83,28,170,66,Athletic Club de Bilbao,Spain Primera Division,LM,Spain,Right,3,4,High/Medium,Normal (170-),Yes,76700000,81,76,82,87,51,61
